09.04.2026                                                                                                 Salida dinámica de lista                                                                                                                                                       1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	  Ancho	    Largo

	1204168	Mat	PPCMC1CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	1C	RG	VE	SD
	1204169	Mat	PPCMC2CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	2C	RG	VE	SD
	1204525	Mat	PPLMLPRRGVESD 26x183xRL	PM_ASERRADERO2	1	P	P	L	ML	PR	RG	VE	SD	26	183	RL	         26,000	      183,000		 26,000	183,000
	1205704	Mat	PPCMASPRGVESD 23x95xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205705	Mat	PPCMASPRGSESD 23x95xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205715	Mat	PPCMASPRGSESD 23x148xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	148		         23,000	      148,000		 23,000	148,000
	1205716	Mat	PPCMASPRGSESD 23x194xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	194		         23,000	      194,000		 23,000	194,000
	1205717	Mat	PPCMASPRGSESD 23x98xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	98		         23,000	       98,000		 23,000	 98,000
	1205718	Mat	PPCMASPRGSESD 23x129xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	129		         23,000	      129,000		 23,000	129,000
	1205719	Mat	PPCMASPRGSESD 23x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	150		         23,000	      150,000		 23,000	150,000
	1205720	Mat	PPCMASPRGSESD 23x202xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	23	202		         23,000	      202,000		 23,000	202,000
	1205729	Mat	PPCMASPRGVESD 23x148xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	23	148		         23,000	      148,000		 23,000	148,000
	1205730	Mat	PPCMASPRGVESD 23x194xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	23	194		         23,000	      194,000		 23,000	194,000
	1205738	Mat	PPCMCSPRGVESD 49x95xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	95		         49,000	       95,000		 49,000	 95,000
	1205739	Mat	PPCMCSPRGVESD 75x95xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	95		         75,000	       95,000		 75,000	 95,000
	1205740	Mat	PPCMCSPRGVESD 49x148xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	148		         49,000	      148,000		 49,000	148,000
	1205741	Mat	PPCMASPRGVESD 23x98xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	23	98		         23,000	       98,000		 23,000	 98,000
