23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200001	Mat	PPCLAL1RGSESD 66x97xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	SE	SD	66	97	RL	         66,000	       97,000		 66,000	   97,000
	1200002	Mat	PPCLAL1RGVESD 81x97xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	VE	SD	81	97	RL	         81,000	       97,000		 81,000	   97,000
	1200003	Mat	PPCLAL1RGSESD 81x97xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	SE	SD	81	97	RL	         81,000	       97,000		 81,000	   97,000
	1200005	Mat	PPCMCMDRGVESD 87x259xRL	PM_ASERRADERO	1	P	P	C	MC	MD	RG	VE	SD	87	259	RL	         87,000	      259,000		 87,000	  259,000
	1200006	Mat	PPCMCMDRGSESD 87x259xRL	PM_ASERRADERO	1	P	P	C	MC	MD	RG	SE	SD	87	259	RL	         87,000	      259,000		 87,000	  259,000
	1200007	Mat	PPCMCMDRGVESD 57x259xRL	PM_ASERRADERO	1	P	P	C	MC	MD	RG	VE	SD	57	259	RL	         57,000	      259,000		 57,000	  259,000
	1200008	Mat	PPCMCMDRGSESD 57x259xRL	PM_ASERRADERO	1	P	P	C	MC	MD	RG	SE	SD	57	259	RL	         57,000	      259,000		 57,000	  259,000
	1200009	Mat	PPLMLSGRGVESD 61x202xRL	PM_ASERRADERO	1	P	P	L	ML	SG	RG	VE	SD	61	202	RL	         61,000	      202,000		 61,000	  202,000
	1200010	Mat	PPLSGCURGVESD 29x202xRL	PM_ASERRADERO	1	P	P	L	SG	CU	RG	VE	SD	29	202	RL	         29,000	      202,000		 29,000	  202,000
	1200011	Mat	PPLSGCURGSESD 29x202xRL	PM_ASERRADERO	1	P	P	L	SG	CU	RG	SE	SD	29	202	RL	         29,000	      202,000		 29,000	  202,000
