Objeto;Denomin.;Tipo de madera;Familia;Terminación;Grado;Espesor;Ancho;Largo;CodAgrup;EspesorPPCalc;AnchoPPCalc;LargoPPCalc;RendVolCalc;CodigoPP;PrecodPP;Calidad;kerf;Denomin..1;RendGrado;Status;FamiliaPostiza;Escuadria
1514292;PTCMASPRGSEG1 1x6x8 216;C;MA;RGH;G1;25.0;145.0;2440.0;1514292;26;150.0;4880.0;0.9294871794871795;MA2615048808+8;MA26150;Standard Plus;;PTCMASPRGSEG1 1x6x8 216;;True;MA;MA 26x150
1514356;PTCMASPS4SEG1 1x8x4 120;C;MA;S4;G1;19.0;184.0;1220.0;1514356;23;194.0;1220.0;0.7835051546391752;MA231941220;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x4 120;;True;MA;MA 23x194
1514357;PTCMASPS4SEG1 1x8x6 120;C;MA;S4;G1;19.0;184.0;1830.0;1514357;23;194.0;3660.0;0.7835051546391752;MA2319436606+6;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x6 120;;True;MA;MA 23x194
1514358;PTCMASPS4SEG1 1x8x8 120;C;MA;S4;G1;19.0;184.0;2440.0;1514358;23;194.0;4880.0;0.7835051546391752;MA2319448808+8;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x8 120;;True;MA;MA 23x194
1514359;PTCMASPS4SEG1 1x8x10 120;C;MA;S4;G1;19.0;184.0;3050.0;1514359;23;194.0;3050.0;0.7835051546391752;MA231943050;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x10 120;;True;MA;MA 23x194
1514388;PTCMASPS4SEG1 1x8x4 102;C;MA;S4;G1;19.0;184.0;1220.0;1514388;23;194.0;1220.0;0.7835051546391752;MA231941220;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x4 102;;True;MA;MA 23x194
1514389;PTCMASPS4SEG1 1x8x6 102;C;MA;S4;G1;19.0;184.0;1830.0;1514389;23;194.0;3660.0;0.7835051546391752;MA2319436606+6;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x6 102;;True;MA;MA 23x194
1514410;PTCMASPS4SEG1 1x8x8 102;C;MA;S4;G1;19.0;184.0;2440.0;1514410;23;194.0;4880.0;0.7835051546391752;MA2319448808+8;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x8 102;;True;MA;MA 23x194
1514411;PTCMASPS4SEG1 1x8x10 102;C;MA;S4;G1;19.0;184.0;3050.0;1514411;23;194.0;3050.0;0.7835051546391752;MA231943050;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x10 102;;True;MA;MA 23x194
1514412;PTCMASPS4SEG1 1x8x12 102;C;MA;S4;G1;19.0;184.0;3660.0;1514412;23;194.0;3660.0;0.7835051546391752;MA231943660;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x12 102;;True;MA;MA 23x194
1514414;PTCMASPS4SEG1 1x8x14 102;C;MA;S4;G1;19.0;184.0;4270.0;1514414;23;194.0;4270.0;0.7835051546391752;MA231944270;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x14 102;;True;MA;MA 23x194
1514415;PTCMASPS4SEG1 1x8x16 102;C;MA;S4;G1;19.0;184.0;4880.0;1514415;23;194.0;4880.0;0.7835051546391752;MA231944880;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x16 102;;True;MA;MA 23x194
1514420;PTCMASPS4SEG1 1x8x12 120;C;MA;S4;G1;19.0;184.0;3660.0;1514420;23;194.0;3660.0;0.7835051546391752;MA231943660;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x12 120;;True;MA;MA 23x194
1514421;PTCMASPS4SEG1 1x8x14 120;C;MA;S4;G1;19.0;184.0;4270.0;1514421;23;194.0;4270.0;0.7835051546391752;MA231944270;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x14 120;;True;MA;MA 23x194
1514422;PTCMASPS4SEG1 1x8x16 120;C;MA;S4;G1;19.0;184.0;4880.0;1514422;23;194.0;4880.0;0.7835051546391752;MA231944880;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x16 120;;True;MA;MA 23x194
1514423;PTCMASPS4SEG1 1x8x6 78;C;MA;S4;G1;19.0;184.0;1830.0;1514423;23;194.0;3660.0;0.7835051546391752;MA2319436606+6;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x6 78;;True;MA;MA 23x194
1514424;PTCMASPS4SEG1 1x8x8 78;C;MA;S4;G1;19.0;184.0;2440.0;1514424;23;194.0;4880.0;0.7835051546391752;MA2319448808+8;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x8 78;;True;MA;MA 23x194
1514425;PTCMASPS4SEG1 1x8x10 78;C;MA;S4;G1;19.0;184.0;3050.0;1514425;23;194.0;3050.0;0.7835051546391752;MA231943050;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x10 78;;True;MA;MA 23x194
1514426;PTCMASPS4SEG1 1x8x12 78;C;MA;S4;G1;19.0;184.0;3660.0;1514426;23;194.0;3660.0;0.7835051546391752;MA231943660;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x12 78;;True;MA;MA 23x194
1514427;PTCMASPS4SEG1 1x8x14 78;C;MA;S4;G1;19.0;184.0;4270.0;1514427;23;194.0;4270.0;0.7835051546391752;MA231944270;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x14 78;;True;MA;MA 23x194
1514428;PTCMASPS4SEG1 1x8x16 78;C;MA;S4;G1;19.0;184.0;4880.0;1514428;23;194.0;4880.0;0.7835051546391752;MA231944880;MA23194;Standard Plus;;PTCMASPS4SEG1 1x8x16 78;;True;MA;MA 23x194
1514429;PTCMAPRR4SEG1 3x6x10 70;C;MA;R4;G1;69.0;140.0;3050.0;1514429;75;148.0;3050.0;0.8702702702702703;MA751483050;MA75148;Premium;;PTCMAPRR4SEG1 3x6x10 70;;True;MA;MA 75x148
1514465;PTCMASPRGSEG1 1x6x10 216;C;MA;RGH;G1;25.0;145.0;3050.0;1514465;26;150.0;3050.0;0.9294871794871795;MA261503050;MA26150;Standard Plus;;PTCMASPRGSEG1 1x6x10 216;;True;MA;MA 26x150
1514466;PTCMASPRGSEG1 1x6x12 216;C;MA;RGH;G1;25.0;145.0;3660.0;1514466;26;150.0;3660.0;0.9294871794871795;MA261503660;MA26150;Standard Plus;;PTCMASPRGSEG1 1x6x12 216;;True;MA;MA 26x150
1514467;PTCMASPRGSEG1 1x6x14 216;C;MA;RGH;G1;25.0;145.0;4270.0;1514467;26;150.0;4270.0;0.9294871794871795;MA261504270;MA26150;Standard Plus;;PTCMASPRGSEG1 1x6x14 216;;True;MA;MA 26x150
1514468;PTCMASPRGSEG1 1x6x16 140;C;MA;RGH;G1;25.0;145.0;4880.0;1514468;26;150.0;4880.0;0.9294871794871795;MA261504880;MA26150;Standard Plus;;PTCMASPRGSEG1 1x6x16 140;0.86;True;MA;MA 26x150
1514490;PTCMASPS3SEG1 1x5x8 153;C;MA;S3;G1;19.0;122.0;2440.0;1514490;23;130.0;4880.0;0.7752508361204014;MA2313048808+8;MA23130;Standard Plus;;PTCMASPS3SEG1 1x5x8 153;;True;MA;MA 23x130
1514491;PTCMASPS3SEG1 1x5x10 153;C;MA;S3;G1;19.0;122.0;3050.0;1514491;23;130.0;3050.0;0.7752508361204014;MA231303050;MA23130;Standard Plus;;PTCMASPS3SEG1 1x5x10 153;;True;MA;MA 23x130
1514492;PTCMASPS3SEG1 1x5x12 153;C;MA;S3;G1;19.0;122.0;3660.0;1514492;23;130.0;3660.0;0.7752508361204014;MA231303660;MA23130;Standard Plus;;PTCMASPS3SEG1 1x5x12 153;;True;MA;MA 23x130
1514493;PTCMASPS3SEG1 1x5x14 153;C;MA;S3;G1;19.0;122.0;4270.0;1514493;23;130.0;4270.0;0.7752508361204014;MA231304270;MA23130;Standard Plus;;PTCMASPS3SEG1 1x5x14 153;;True;MA;MA 23x130
1514494;PTCMASPS3SEG1 1x5x16 153;C;MA;S3;G1;19.0;122.0;4880.0;1514494;23;130.0;4880.0;0.7752508361204014;MA231304880;MA23130;Standard Plus;;PTCMASPS3SEG1 1x5x16 153;;True;MA;MA 23x130
1514495;PTCMAENS3SEG2 1x5x8 324;C;MA;S3;G2;19.0;122.0;2440.0;1514495;23;130.0;4880.0;0.7752508361204014;MA2313048808+8;MA23130;G2 Standard Plus;;PTCMAENS3SEG2 1x5x8 324;;True;MA;MA 23x130
1514496;PTCMAENS3SEG2 1x5x10 324;C;MA;S3;G2;19.0;122.0;3050.0;1514496;23;130.0;3050.0;0.7752508361204014;MA231303050;MA23130;G2 Standard Plus;;PTCMAENS3SEG2 1x5x10 324;;True;MA;MA 23x130
1514497;PTCMAENS3SEG2 1x5x12 324;C;MA;S3;G2;19.0;122.0;3660.0;1514497;23;130.0;3660.0;0.7752508361204014;MA231303660;MA23130;G2 Standard Plus;;PTCMAENS3SEG2 1x5x12 324;;True;MA;MA 23x130
1514498;PTCMAENS3SEG2 1x5x14 153;C;MA;S3;G2;19.0;122.0;4270.0;1514498;23;130.0;4270.0;0.7752508361204014;MA231304270;MA23130;G2 Standard Plus;;PTCMAENS3SEG2 1x5x14 153;;True;MA;MA 23x130
1514499;PTCMAENS3SEG2 1x5x16 324;C;MA;S3;G2;19.0;122.0;4880.0;1514499;23;130.0;4880.0;0.7752508361204014;MA231304880;MA23130;G2 Standard Plus;;PTCMAENS3SEG2 1x5x16 324;;True;MA;MA 23x130
1514500;PTCMAPRR4SEG1 3x6x12 80;C;MA;R4;G1;69.0;140.0;3660.0;1514500;75;148.0;3660.0;0.8702702702702703;MA751483660;MA75148;Premium;;PTCMAPRR4SEG1 3x6x12 80;;True;MA;MA 75x148
