Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1205704;PPCMASPRGVESD 23x95xRL;MA;23.0;95.0;;MA2395;MA 23x95;True
1205705;PPCMASPRGSESD 23x95xRL;MA;23.0;95.0;;MA2395;MA 23x95;True
1205715;PPCMASPRGSESD 23x148xRL;MA;23.0;148.0;;MA23148;MA 23x148;True
1205716;PPCMASPRGSESD 23x194xRL;MA;23.0;194.0;;MA23194;MA 23x194;True
1205717;PPCMASPRGSESD 23x98xRL;MA;23.0;98.0;;MA2398;MA 23x98;True
1205718;PPCMASPRGSESD 23x129xRL;MA;23.0;129.0;;MA23129;MA 23x129;True
1205719;PPCMASPRGSESD 23x150xRL;MA;23.0;150.0;;MA23150;MA 23x150;True
1205720;PPCMASPRGSESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
1205729;PPCMASPRGVESD 23x148xRL;MA;23.0;148.0;;MA23148;MA 23x148;True
1205730;PPCMASPRGVESD 23x194xRL;MA;23.0;194.0;;MA23194;MA 23x194;True
1205741;PPCMASPRGVESD 23x98xRL;MA;23.0;98.0;;MA2398;MA 23x98;True
1205742;PPCMASPRGVESD 23x129xRL;MA;23.0;129.0;;MA23129;MA 23x129;True
1205743;PPCMASPRGVESD 23x150xRL;MA;23.0;150.0;;MA23150;MA 23x150;True
1205744;PPCMASPRGVESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
1205745;PPCMASPRGVESD 23x259xRL;MA;23.0;259.0;;MA23259;MA 23x259;True
1205746;PPCMASPRGVESD 26x202xRL;MA;26.0;202.0;;MA26202;MA 26x202;True
1205751;PPCMASPRGSESD 23x259xRL;MA;23.0;259.0;;MA23259;MA 23x259;True
1205752;PPCMASPRGSESD 26x202xRL;MA;26.0;202.0;;MA26202;MA 26x202;True
1205755;PPCMASPRGSESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
1205756;PPCMASPRGSESD 50x150xRL;MA;50.0;150.0;;MA50150;MA 50x150;True
1205760;PPCMASPRGSESD 75x150xRL;MA;75.0;150.0;;MA75150;MA 75x150;True
1205763;PPCMASPRGVESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
1205764;PPCMASPRGVESD 50x150xRL;MA;50.0;150.0;;MA50150;MA 50x150;True
1205766;PPCMASPRGVESD 75x150xRL;MA;75.0;150.0;;MA75150;MA 75x150;True
1205767;PPCMASPRGVESD 17x98xRL;MA;17.0;98.0;;MA1798;MA 17x98;True
1205771;PPCMASPRGSESD 17x98xRL;MA;17.0;98.0;;MA1798;MA 17x98;True
1205820;PPCMASPRGVESD 26x150xRL;MA;26.0;150.0;;MA26150;MA 26x150;True
1205822;PPCMASPRGVESD 42x148xRL;MA;42.0;148.0;;MA42148;MA 42x148;True
1205823;PPCMASPRGVESD 52x157xRL;MA;52.0;157.0;;MA52157;MA 52x157;True
1205824;PPCMASPRGSESD 26x150xRL;MA;26.0;150.0;;MA26150;MA 26x150;True
1205825;PPCMASPRGSESD 42x148xRL;MA;42.0;148.0;;MA42148;MA 42x148;True
1205826;PPCMASPRGSESD 52x157xRL;MA;52.0;157.0;;MA52157;MA 52x157;True
1205827;PPCMAPRRGVESD 23x95xRL;MA;23.0;95.0;;MA2395;MA 23x95;True
1205829;PPCMAPRRGVESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
1205830;PPCMAPRRGVESD 75x148xRL;MA;75.0;148.0;;MA75148;MA 75x148;True
